原词,关系类型,目标词
bee,同音词,be
see,同音词,sea
no,同音词,know
hi,同音词,high
for,同音词,four
son,同音词,sun
our,同音词,hour
pair,同音词,pear
here,同音词,hear
to,同音词,two
to,同音词,too
two,同音词,too
there,同音词,their
by,同音词,bye
by,同音词,buy
bye,同音词,buy
right,同音词,write
red,同音词,read
meat,同音词,meet
wear,同音词,where
dear,同音词,deer
weight,同音词,wait
it's,同音词,its
new,同音词,knew
father,同音词,farther
blue,同音词,blew
father,近义词,dad
mother,近义词,mum
mother,近义词,mom
mum,近义词,mom
listen,近义词,hear
glad,近义词,happy
gift,近义词,present
like,近义词,love
little,近义词,small
photo,近义词,picture
start,近义词,begin
plane,近义词,airplane
learn,近义词,study
beautiful,近义词,pretty
usually,近义词,often
near,近义词,beside
near,近义词,near to
beside,近义词,near to
hi,近义词,hello
speak,近义词,say
of course,近义词,sure
be from,近义词,come from
take a bus,近义词,by bus
would like,近义词,want
toilet,近义词,WC
class,近义词,lesson
everyone,近义词,everybody
glass,近义词,cup
large,近义词,big
purse,近义词,wallet
home,近义词,house
look,近义词,see
cycle,近义词,bike
quick,近义词,fast
garden,近义词,park
desk,近义词,table
speak,近义词,talk
say,近义词,talk
river,近义词,lake
go home,近义词,come home
a moment ago,近义词,just now
a lot of,近义词,lots of
a lot of,近义词,many
lots of,近义词,many
be good at,近义词,do well in
take a walk,近义词,go for a walk
look for,近义词,find
big,反义词,small
bad,反义词,good
black,反义词,white
cold,反义词,hot
cool,反义词,warm
come,反义词,go
different,反义词,same
difficult,反义词,easy
day,反义词,night
early,反义词,late
happy,反义词,sad
in,反义词,out
left,反义词,right
quiet,反义词,active
new,反义词,old
open,反义词,close
stand,反义词,sit
short,反义词,tall
short,反义词,long
thin,反义词,fat
up,反义词,down
wrong,反义词,right
young,反义词,old
behind,反义词,in front of
stop,反义词,start
stop,反义词,begin
cheap,反义词,expensive
cheap,反义词,dear
always,反义词,never
west,反义词,east
north,反义词,south
here,反义词,there
after,反义词,before
fat,反义词,thin
late,反义词,early
long,反义词,short
tall,反义词,short
yes,反义词,no
far,反义词,near
sit,反义词,stand
cry,反义词,laugh
right,反义词,wrong
right,反义词,left
same,反义词,different
quick,反义词,slow
ask,反义词,answer
busy,反义词,free
this,反义词,that
these,反义词,those
man,反义词,woman
boy,反义词,girl
uncle,反义词,aunt
grandmother,反义词,grandfather
father,反义词,mother
sister,反义词,brother
son,反义词,daughter
actor,反义词,actress
student,反义词,teacher
tomorrow,反义词,yesterday
do,词形变化,did
have,词形变化,had
is,词形变化,was
are,词形变化,were
go,词形变化,went
fly,词形变化,flew
make,词形变化,made
sing,词形变化,sang
eat,词形变化,ate
see,词形变化,saw
get,词形变化,got
take,词形变化,took
buy,词形变化,bought
leave,词形变化,left
swim,词形变化,swam
win,词形变化,won
child,词形变化,children
man,词形变化,men
woman,词形变化,women
mouse,词形变化,mice
foot,词形变化,feet
tooth,词形变化,teeth
goose,词形变化,geese
knife,词形变化,knives
leaf,词形变化,leaves
city,词形变化,cities
tomato,词形变化,tomatoes
potato,词形变化,potatoes
it,词形变化,they
it,词形变化,them
me,词形变化,us
this,词形变化,these
that,词形变化,those
sheep,词形变化,sheep
deer,词形变化,deer
Chinese,词形变化,Chinese
dry,反义词,wet
near,反义词,far
light,反义词,heavy
above,反义词,below
remember,反义词,forget
strong,反义词,weak
win,反义词,lose
have,词形变化,has
carry,词形变化,carries
say,词形变化,says
zero,词形变化,zeros
beach,词形变化,beaches
ring,词形变化,ringing
sit,词形变化,sitting
swim,词形变化,swimming
run,词形变化,running
call,词形变化,calling
lie,词形变化,lying
quick,词形变化,quickly
slow,词形变化,slowy
easy,词形变化,easily
happy,词形变化,happily
hear,同音词,here
snow,词形变化,snowy
rain,词形变化,rainy
sun,词形变化,sunny
wind,词形变化,windy
cloud,词形变化,cloudy
one,词形变化,first
